map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
8room_000,Focal SIPP,2.0,853,0.4008458646616541,1.0,true
8room_000,W-SIPP Dupl,4.0,249,0.11701127819548872,1.0,true
8room_000,W-SIPP Re-exp,4.0,381,0.17904135338345864,1.0,true
8room_000,Focal SIPP,4.0,28,0.013157894736842105,1.0,true
8room_000,W-SIPP Dupl,1.1,1427,1.7793017456359101,1.0,true
8room_000,W-SIPP Re-exp,1.1,770,0.9600997506234414,1.0,true
8room_000,Focal SIPP,1.1,802,1.0,1.0,true
8room_000,W-SIPP Dupl,1.25,1124,1.401496259351621,1.0,true
8room_000,W-SIPP Re-exp,1.25,682,0.8503740648379052,1.0,true
8room_000,Focal SIPP,1.25,539,0.672069825436409,1.0,true
8room_000,W-SIPP Dupl,1.5,802,1.0,1.0,true
8room_000,W-SIPP Re-exp,1.5,566,0.7057356608478803,1.0,true
8room_000,Focal SIPP,1.5,471,0.587281795511222,1.0,true
8room_000,W-SIPP Dupl,2.0,202,0.2518703241895262,1.0,true
8room_000,W-SIPP Re-exp,2.0,214,0.26683291770573564,1.0,true
8room_000,Focal SIPP,2.0,39,0.048628428927680795,1.0,true
8room_000,W-SIPP Dupl,4.0,75,0.09351620947630923,1.0,true
8room_000,W-SIPP Re-exp,4.0,79,0.09850374064837905,1.0,true
8room_000,Focal SIPP,4.0,39,0.048628428927680795,1.0,true
8room_000,W-SIPP Dupl,1.1,278,1.4946236559139785,1.0,true
8room_000,W-SIPP Re-exp,1.1,170,0.9139784946236559,1.0,true
8room_000,Focal SIPP,1.1,182,0.978494623655914,1.0,true
8room_000,W-SIPP Dupl,1.25,255,1.3709677419354838,1.0,true
8room_000,W-SIPP Re-exp,1.25,164,0.8817204301075269,1.0,true
8room_000,Focal SIPP,1.25,119,0.6397849462365591,1.0,true
8room_000,W-SIPP Dupl,1.5,228,1.2258064516129032,1.0,true
8room_000,W-SIPP Re-exp,1.5,158,0.8494623655913979,1.0,true
